name,pronounciation
กชมน,กด-ชะ-มน
เกริกวิทย์,เกริก-วิด
เกวลิน,เก-วะ-ลิน
ไกรวิชญ์,ไกร-วิด
ขวัญจิรา,ขวัน-จิ-รา
เขมินทร์,เข-มิน
คณนาถ,คะ-นะ-นาด
ครองขวัญ,ครอง-ขวัน
คุณภัทร,คุน-นะ-พัด
คุณานนท์,คุ-นา-นน
จอมขวัญ,จอม-ขวัน
จักรดุลย์,จัก-กระ-ดุน
จารุพิชญ์,จา-รุ-พิด
จิตติพัฒน์,จิด-ติ-พัด
เจตปรียา,เจด-ปรี-ยา
ฉันชนก,ฉัน-ชะ-นก
ฉันทิต,ฉัน-ทิด
ชนกันต์,ชะ-นะ-กัน
ชนมน,ชะ-นะ-มน
ชนิตพล,ชะ-นิด-ตะ-พน
ชรินทร์ทิพย์,ชะ-ริน-ทิบ
เชิญขวัญ,เชิน-ขวัน
ญาณพัฒน์,ยา-นะ-พัด
ญาณิดา,ยา-นิ-ดา
ฐานนันท์,ถา-นะ-นัน
ฐิตารีย์,ถิ-ตา-รี
ฐิติวัฒน์,ถิ-ติ-วัด
ฐีรวัฒน์,ถี-ระ-วัด
ณัชชนม์,นัด-ชน
ณัฏฐกิตติ์,นัด-ถะ-กิด
ณัฐชยาน์,นัด-ถะ-ยา
ณัฐภูมินทร์,นัด-ถะ-พู-มิน
ณิขนันทน์,นิด-ชะ-นัน
ดนุนันท์,ดะ-นุ-นัน
ดรัณภพ,ดะ-รัน-พบ
ดารินทร์,ดา-ริน
ตุลธร,ตุน-ละ-ทอน
เตชภณ,เต-ชะ-พน
เตวิช,เต-วิด
ถิรคุณ,ถิ-ระ-คุณ
ถิรมน,ถิ-ระ-มน
ทัตธน,ทัด-ทน
ทัตพิชา,ทัด-พิ-ชา
ทินภัทร,ทิน-นะ-พัด
ทิพย์รัตน์,ทิบ-พะ-รัด
ธนวิชญ์,ทะ-นะ-วิด
ธนัชพร,ทะ-นัด-ชะ-พอน
ธมลวรรณ,ทะ-มน-วัน
ธรรมปพน,ทำ-ปะ-พน
ธัญธร,ทัน-ยะ-ทอน
ธีร์วรา,ที-วะ-รา
นนท์ปวิธ,นน-ปะ-วิด
นรกมล,นอ-ระ-กะ-มน
นฤชิต,นะ-รึ-ชิด
นวินดา,นะ-วิน-ดา
นิจจารีย์,นิด-จา-รี
นิพพิชฌน์,นิบ-พิด
นิพิฐพนธ์,นิ-พิด-พน
บุณยวีย์,บุน-ยะ-วี
เบญญาภา,เบน-ยา-พา
ปกรณ์เกียรติ,ปะ-กอน-เกียด
ปพนธีร์,ปะ-พน-ที
ปภินวิทย์,ปะ-พิน-วิด
ประณยา,ประ-นะ-ยา
ปรีณาพรรณ,ปรี-นา-พัน
ปิยพัทธ์,ปิ-ยะ-พัด
ปูริดา,ปู-ริ-ดา
ผดุงเดช,ผะ-ดุง-เดด
ผริตา,ผะ-ริ-ตา
ฝนทิพย์,ฝน-ทิบ
พชรดนัย,พด-ชะ-ระ-ดะ-ไน
พชรพล,พด-ชะ-ระ-พน
พนธกร,พน-ทะ-กอน
พนิตอนงค์,พะ-นิด-อะ-นง
พรกรัณย์,พอน-กะ-รัน
พลวรรธน์,พน-ละ-วัด
พักตร์พริ้ง,พัก-พริ้ง
พัฒน์นรี,พัด-นะ-รี
ภพนิพิฐ,พบ-พิ-นิด
ภวรัญชน์,พะ-วะ-รัน
ภัทรกันย์,พัด-ทระ-กัน
ภาณุวิชญ์,พา-นุ-วิด
ภิญญาพัชญ์,พิน-ยา-พัด
ภีมวัจน์,พี-มะ-วัด
ภูริณัฐ,พู-ริ-นัด
มณฑกาญจน์,มน-ทะ-กาน
มนพัทธ์,มะ-นะ-พัด
มานเมตต์,มาน-เมด
เมธพนธ์,เม-ทะ-พน
ยลรดี,ยน-ระ-ดี
ยิ่งคุณ,ยิ่ง-คุน
รจิตพิชญ์,ระ-จิต-พิด
รชานนท์,ระ-ชา-นน
รณพร,รน-นะ-พอน
รติบดี,ระ-ติ-บอ-ดี
รัตนพล,รัด-ตะ-นะ-พน
ไรวินท์,ไร-วิน
ลัทธพรรณ,ลัด-ทะ-พัน
ลัลน์ลลิต,ลัน-ละ-ลิด
ล้อมเดช,ล้อม-เดช
วชิรวิทย์,วะ-ชิ-ระ-วิด
วรดนัย,วอ-ระ-ดะ-ไน
วรปรัชญ์,วอ-ระ-ปรัด
วรรณวนัช,วัน-วะ-นัด
วรัชยา,วะ-รัด-ชะ-ยา
วัณณุวรรธน์,วัน-นุ-วัด
วิชชาพร,วิ-ชา-พอน
วิธวิทย์,วิด-ทะ-วิด
วิมพ์วิภา,วิม-วิ-พา
วิมลรัตน์,วิ-มน-รัด
วิวัฒน์ชัย,วิ-วัด-ไช
วิวิธวินท์,วิ-วิด-ทะ-วิน
วีรวัฒน์,วี-ระ-วัด
วีรินทร์,วี-ริน
ไววิทย์,ไว-วิด
อชิรญา,อะ-ชิ-ระ-ยา
อดิกันต์,อะ-ดิ-กัน
อติกานต์,อะ-ติ-กาน
อติวัณณ์,อะ-ติ-วัน
อติวิชญ์,อะ-ติ-วิด
อธิปัตย์,อะ-ทิ-ปัด
อธิพันธ์,อะ-ทิ-พัน
อธิวัฒน์,อะ-ทิ-วัด
อนงค์รตี,อะ-นง-ระ-ตี
อนพัช,อะ-นะ-พัด
อนรรฆวี,อะ-นัก-คะ-วี
อนวัทย์,อะ-นะ-วัด
อนันตพร,อะ-นัน-ตะ-พอน
อนันยช,อะ-นัน-ยด
อนุตตรีย์,อะ-นุด-ตะ-รี
อนุพนธ์,อะ-นุ-พน
อนุวรรธน์,อะ-นุ-วัด
อภินัทธ์,อะ-พิ-นัด
อภิวรรธน์,อะ-พิ-วัด
อมลณัฐ,อะ-มน-นัด
อมลรดา,อะ-มน-ระ-ดา
อรกานต์,ออ-ระ-กาน
