name,gender,ipa,romanize1,romanize2,romanize3
กุลสตรี,f,kun1 la-1 sat2 trI-1,kunlasattri,kullasattri,
กุสุมา,f,ku-2 su-2 mA-1,kusuma,gusuma,
กุสุมาลย์,f,ku-2 su-2 mAn1,kusuman,kusumal,gusumal
กุหลาบ,f,ku-1 lAp2,kulap,kulab,kularb
ก่อเกียรติ,m,kX-2 kJt2,kokiat,korkiat,gorkiat
ก้อง,m,kxN3,kong,gong,
ก้องภพ,m,kxN3 Pop4,kongphop,kongpob,kongphob
ขจร,m,Ka-1 cXn1,khachon,khajorn,kajorn
ขจรพงศ์,m,Ka-1 cXn1 PoN1,khachonphong,khajornpong,khajornphong
ขจรศักดิ์,m,Ka-1 cXn1 sak2,khachonsak,khajornsak,kajornsak
ขจรเกียรติ,m,Ka-1 cXn1 kJt2,khachonkiat,khajornkiat,kajornkiat
ขจรเดช,m,Ka-1 cXn1 dEt2,khachondet,khajorndech,kajorndech
ขจี,f,Ka-1 cI-1,khachi,khajee,kajee
ขรรค์ชัย,m,Kan5 Caj1,khanchai,,
ขวัญจิตร,f,Kwan5 cit2,khwanchit,khwanjit,kwanjit
ขวัญชนก,f,Kwan5 Ca-1 nok4,khwanchanok,kwanchanok,
ขวัญชีวา,f,Kwan5 CI-1 wA-1,khwanchiwa,khwancheewa,kwancheewa
ขวัญดาว,f,Kwan5 dAw1,khwandao,khawndaw,kwandao
ขวัญทิพย์,f,Kwan5 Tip4,khwanthip,khwantip,kwanthip
ขวัญนภา,f,Kwan5 na-4 PA-1,khwannapha,khwannapa,kwannapha
ขวัญรัตน์,f,Kwan5 rat4,khwanrat,kwanrat,
ขวัญฤดี,f,Kwan5 rv-4 dI-1,khwanruedi,khwanruedee,kwanruedee
ขวัญศิริ,f,Kwan5 si-1 ri?4,khwansiri,khwansiree,kwansiree
ขวัญสุดา,f,Kwan5 su-2 dA-1,khwansuda,kwansuda,
ขวัญหล้า,f,Kwan5 lA-3,khwanla,khwanlar,kwanla
ขวัญเดือน,f,Kwan5 dWn1,khwanduean,khwanduen,kwanduean
ขวัญเรือน,f,Kwan5 rWn1,khwanruean,khwanruen,kwanruen
ขัตติยา,f,Kat2 ti-2 jA-1,khattiya,kattiya,
ขันคำ,f,Kan5 Kam1,khankham,khankam,
ขันติ,m,Kan5 ti?2,khanti,,
คงคา,m,KoN1 KA-1,khongkha,khongka,kongka
คงฤทธิ์,m,KoN1 rit4,khongrit,kongrit,
คงศักดิ์,m,KoN1 sak2,khongsak,kongsak,
คงเดช,m,KoN1 dEt2,khongdet,kongdech,khongdech
คชา,m,Ka-1 CA-1,khacha,kacha,
คฑาวุฒิ,m,Ka-1 TA-1 wut4,khathawut,khatawut,kathawut
คฑาวุธ,m,Ka-1 TA-1 wut4,khathawut,khatawut,kathawut
คณากร,m,Ka-1 nA-1 kXn1,khanakon,kanakorn,khanakorn
คณาวุฒิ,m,Ka-1 nA-1 wut4,khanawut,kanawut,
คณิน,m,Ka-1 nin1,khanin,kanin,
คทาวุธ,m,Ka-1 TA-1 wut4,khathawut,khatawut,kathawut
คธาวุธ,m,Ka-1 TA-1 wut4,khathawut,khatawut,kathawut
คนึงนิต,f,Ka-1 nvN1 nit4,khanuengnit,kanuengnit,kanungnit
คนึงนุช,f,Ka-1 nvN1 nut4,khanuengnut,kanuengnuch,khaneungnuch
คม,m,Kom1,khom,kom,
คมกริช,m,Kom1 krit2,khomkrit,komkrit,komkrich
คมกฤช,m,Kom1 krit2,khomkrit,komkrit,komkrich
คมกฤต,m,Kom1 krit2,khomkrit,komkrit,komkrid
คมกฤษ,m,Kom1 krit2,khomkrit,komkrit,komkris
คมกฤษณ์,m,Kom1 krit2,khomkrit,komkrit,komkris
คมชาญ,m,Kom1 CAn1,khomchan,komchan,
คมสรรค์,m,Kom1 san5,khomsan,komsan,khomsun
คมสัน,m,Kom1 san5,khomsan,komsan,khomsun
