token,gender,transcription,romanize1,romanize2,romanize3
กุลสตรี,f,kun0.la0.sat1.tri:0,kunlasattri,kullasattri,
กุสุมา,f,ku1.su1.ma:0,kusuma,gusuma,
กุสุมาลย์,f,ku1.su1.ma:n0,kusuman,kusumal,gusumal
กุหลาบ,f,ku0.la:p1,kulap,kulab,kularb
ก่อเกียรติ,m,kO:1.kiat1,kokiat,korkiat,gorkiat
ก้อง,m,kON2,kong,gong,
ก้องภพ,m,kON2.phop3,kongphop,kongpob,kongphob
ขจร,m,kha0.cO:n0,khachon,khajorn,kajorn
ขจรพงศ์,m,kha0.cO:n0.phoN0,khachonphong,khajornpong,khajornphong
ขจรศักดิ์,m,kha0.cO:n0.sak1,khachonsak,khajornsak,kajornsak
ขจรเกียรติ,m,kha0.cO:n0.kiat1,khachonkiat,khajornkiat,kajornkiat
ขจรเดช,m,kha0.cO:n0.de:t1,khachondet,khajorndech,kajorndech
ขจี,f,kha0.ci:0,khachi,khajee,kajee
ขรรค์ชัย,m,khan4.chaj0,khanchai,,
ขวัญจิตร,f,khwan4.cit1,khwanchit,khwanjit,kwanjit
ขวัญชนก,f,khwan4.cha0.nok3,khwanchanok,kwanchanok,
ขวัญชีวา,f,khwan4.chi:0.wa:0,khwanchiwa,khwancheewa,kwancheewa
ขวัญดาว,f,khwan4.da:w0,khwandao,khawndaw,kwandao
ขวัญทิพย์,f,khwan4.thip3,khwanthip,khwantip,kwanthip
ขวัญนภา,f,khwan4.na3.pha:0,khwannapha,khwannapa,kwannapha
ขวัญรัตน์,f,khwan4.rat3,khwanrat,kwanrat,
ขวัญฤดี,f,khwan4.rI3.di:0,khwanruedi,khwanruedee,kwanruedee
ขวัญศิริ,f,khwan4.si1.ri1,khwansiri,khwansiree,kwansiree
ขวัญสุดา,f,khwan4.su1.da:0,khwansuda,kwansuda,
ขวัญหล้า,f,khwan4.la:2,khwanla,khwanlar,kwanla
ขวัญเดือน,f,khwan4.dIan0,khwanduean,khwanduen,kwanduean
ขวัญเรือน,f,khwan4.rIan0,khwanruean,khwanruen,kwanruen
ขัตติยา,f,khat1.ti1.ja:0,khattiya,kattiya,
ขันคำ,f,khan4.kham0,khankham,khankam,
ขันติ,m,khan4.ti1,khanti,,
คงคา,m,khoN0.kha:0,khongkha,khongka,kongka
คงฤทธิ์,m,khoN0.rit3,khongrit,kongrit,
คงศักดิ์,m,khoN0.sak1,khongsak,kongsak,
คงเดช,m,khoN0.de:t1,khongdet,kongdech,khongdech
คชา,m,kha0.cha:0,khacha,kacha,
คฑาวุฒิ,m,kha0.tha:0.wut3,khathawut,khatawut,kathawut
คฑาวุธ,m,kha0.tha:0.wut3,khathawut,khatawut,kathawut
คณากร,m,kha0.na:0.kO:n0,khanakon,kanakorn,khanakorn
คณาวุฒิ,m,kha0.na:0.wut3,khanawut,kanawut,
คณิน,m,kha0.nin0,khanin,kanin,
คทาวุธ,m,kha0.tha:0.wut3,khathawut,khatawut,kathawut
คธาวุธ,m,kha0.tha:0.wut3,khathawut,khatawut,kathawut
คนึงนิต,f,kha0.nIN0.nit3,khanuengnit,kanuengnit,kanungnit
คนึงนุช,f,kha0.nIN0.nut3,khanuengnut,kanuengnuch,khaneungnuch
คม,m,khom0,khom,kom,
คมกริช,m,khom0.krit1,khomkrit,komkrit,komkrich
คมกฤช,m,khom0.krit1,khomkrit,komkrit,komkrich
คมกฤต,m,khom0.krit1,khomkrit,komkrit,komkrid
คมกฤษ,m,khom0.krit1,khomkrit,komkrit,komkris
คมกฤษณ์,m,khom0.krit1,khomkrit,komkrit,komkris
คมชาญ,m,khom0.cha:n0,khomchan,komchan,
คมสรรค์,m,khom0.san4,khomsan,komsan,khomsun
คมสัน,m,khom0.san4,khomsan,komsan,khomsun
คมสันติ์,m,khom0.san4,khomsan,komsan,khomsun
คมสันต์,m,khom0.san4,khomsan,komsan,khomsun
คมเดช,m,khom0.de:t1,khomdet,komdet,khomdech
คมเพชร,m,khom0.phet3,khomphet,kompetch,khompetch
ครรชิต,m,khan0.chit3,khanchit,kanchit,
ครรชิตพล,m,khan0.chit3.phon0,khanchitphon,kanchitpon,khanchitpol
คริษฐา,f,kha0.rit3.tha:4,kharittha,karitta,karittha
